,activeflag,businesstype,curvetype,documentid,documentrevnum,documenttype,powersystemresourcetype,processtype,quantity,resolution,settlementdate,settlementperiod,timeseriesid
102,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121228,1,Actual generation per type,Other,Realised,124.0,PT30M,2018-04-25,10,NGET-EMFIP-AGPT-TS-00614228
103,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121228,1,Actual generation per type,Nuclear,Realised,7170.0,PT30M,2018-04-25,10,NGET-EMFIP-AGPT-TS-00614229
104,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121228,1,Actual generation per type,Fossil Oil,Realised,0.0,PT30M,2018-04-25,10,NGET-EMFIP-AGPT-TS-00614230
105,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121228,1,Actual generation per type,Fossil Gas,Realised,7050.0,PT30M,2018-04-25,10,NGET-EMFIP-AGPT-TS-00614231
106,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121228,1,Actual generation per type,Fossil Hard coal,Realised,0.0,PT30M,2018-04-25,10,NGET-EMFIP-AGPT-TS-00614232
107,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121228,1,Actual generation per type,Hydro Run-of-river and poundage,Realised,187.0,PT30M,2018-04-25,10,NGET-EMFIP-AGPT-TS-00614233
108,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121228,1,Actual generation per type,Hydro Pumped Storage,Realised,0.0,PT30M,2018-04-25,10,NGET-EMFIP-AGPT-TS-00614234
109,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121228,1,Actual generation per type,Biomass,Realised,1142.0,PT30M,2018-04-25,10,NGET-EMFIP-AGPT-TS-00614235
110,True,Solar generation,Sequential fixed size block,NGET-EMFIP-AGPT-00121229,1,Actual generation per type,Solar,Realised,0.0,PT30M,2018-04-25,11,NGET-EMFIP-AGPT-TS-00614236
111,True,Wind generation,Sequential fixed size block,NGET-EMFIP-AGPT-00121229,1,Actual generation per type,Wind Offshore,Realised,2379.328,PT30M,2018-04-25,11,NGET-EMFIP-AGPT-TS-00614237
112,True,Wind generation,Sequential fixed size block,NGET-EMFIP-AGPT-00121229,1,Actual generation per type,Wind Onshore,Realised,3286.74,PT30M,2018-04-25,11,NGET-EMFIP-AGPT-TS-00614238
113,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121229,1,Actual generation per type,Other,Realised,125.0,PT30M,2018-04-25,11,NGET-EMFIP-AGPT-TS-00614239
114,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121229,1,Actual generation per type,Nuclear,Realised,7166.0,PT30M,2018-04-25,11,NGET-EMFIP-AGPT-TS-00614240
115,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121229,1,Actual generation per type,Fossil Oil,Realised,0.0,PT30M,2018-04-25,11,NGET-EMFIP-AGPT-TS-00614241
116,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121229,1,Actual generation per type,Fossil Gas,Realised,7339.0,PT30M,2018-04-25,11,NGET-EMFIP-AGPT-TS-00614242
117,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121229,1,Actual generation per type,Fossil Hard coal,Realised,0.0,PT30M,2018-04-25,11,NGET-EMFIP-AGPT-TS-00614243
118,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121229,1,Actual generation per type,Hydro Run-of-river and poundage,Realised,258.0,PT30M,2018-04-25,11,NGET-EMFIP-AGPT-TS-00614244
119,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121229,1,Actual generation per type,Hydro Pumped Storage,Realised,0.0,PT30M,2018-04-25,11,NGET-EMFIP-AGPT-TS-00614245
120,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121229,1,Actual generation per type,Biomass,Realised,1174.0,PT30M,2018-04-25,11,NGET-EMFIP-AGPT-TS-00614246
121,True,Solar generation,Sequential fixed size block,NGET-EMFIP-AGPT-00121230,1,Actual generation per type,Solar,Realised,2.0,PT30M,2018-04-25,12,NGET-EMFIP-AGPT-TS-00614247
122,True,Wind generation,Sequential fixed size block,NGET-EMFIP-AGPT-00121230,1,Actual generation per type,Wind Offshore,Realised,107.778,PT30M,2018-04-25,12,NGET-EMFIP-AGPT-TS-00614248
